header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2
Q22,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Constantly pushing for more is not my top priority.,ليس من أولوياتي تحفيز نفسي باستمرار من أجل تحقيق المزيد.,1,I'm not content until I achieve great success.,لا أرتاح حتى أحقق نجاحًا كبيرًا.,2
Q23,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I like to base decisions on facts and current knowledge.,أحب اتخاذ القرارات بناءً على الحقائق والمعلومات الحالية.,1,I enjoy imagining new possibilities and exploring unconventional ideas.,أستمتع بتخيل إحتمالات جديدة واستكشاف الأفكار غير التقليدية.,2
Q24,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I can focus my energy on just a few important things.,يقتصر تركيز طاقتي على بعض الأمور المهمة فقط.,1,I spread my energy to everyone around me.,أنشر طاقتي وحيويتي لكل من هم حولي.,2
Q25,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don't feel the need to question why things are done a certain way.,لا أشعر بالحاجة إلى التساؤل عن سبب القيام بالأشياء بطريقة معينة.,1,I approach tasks ready to explore various possibilities.,أتعامل مع المهام بروح الاستعداد والجاهزية لاكتشاف مختلف الاحتمالات.,2
Q26,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I seek out opportunities to meet new people.,أبحث عن فرص للتعرف على أشخاص جدد.,1,I don't put myself in social positions that are outside my comfort zone.,لا أضع نفسي في مواقف اجتماعية خارجة عن إطار راحتي.,2
Q27,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Working in teams slows down my progress.,العمل مع الفريق يبطئ من تقدمي.,1,I believe that team collaboration can lead to better outcomes.,أعتقد أن تعاون الفريق يمكن أن يؤدي إلى نتائج أفضل.,2
Q28,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am hesitant to give up on familiar routines.,أتردد في التخلي عن الروتين المألوف.,1,I easily abandon old habits for more effective ones.,أتخلى بسهولة عن العادات القديمة واستبدالها بعادات أكثر فعالية.,2
Q29,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I would describe myself as creative.,يمكنني وصف نفسي كشخص مُبدِع.,1,I would describe myself as solution-focused.,يمكنني وصف نفسي بأنني شخص يركز على إيجاد الحلول.,2
Q30,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Competition is not a motivator for me.,لا تعتبر المنافسة من المحفزات بالنسبة لي.,1,I like it when others follow my decisions.,أحب أن يتبع الآخرون قراراتي.,2
Q31,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I thrive on pushing myself to achieve challenging goals.,أنجح عندما أدفع نفسي لتحقيق الأهداف الصعبة.,1,I am content with my current achievements.,أنا راضٍ عن إنجازاتي الحالية.,2
Q32,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy taking time to explore different perspectives before deciding.,أستمتع بأخذ الوقت الكافي لاستكشاف وجهات نظر مختلفة قبل اتخاذ القرار.,1,I focus on getting things done efficiently.,أركز على إنجاز الأمور بكفاءة.,2
Q33,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People see me as a joyful person.,يراني الناس كشخص سعيد.,1,I think overly cheerful people seem disconnected from reality.,أعتقد أن الأشخاص المفرطين في التفاؤل يبدون منفصلين عن الواقع.,2
Q34,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Tried and tested approaches to tasks are the best.,الأساليب المجرّبة مسبقًا للقيام بالمهام هي الأفضل.,1,I experiment to find new ways of doing things.,أقوم بتجربة طرق جديدة للقيام بالأشياء.,2
Q35,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I have a natural talent for captivating an audience and holding their attention.,لدي موهبة طبيعية في جذب الجمهور والحفاظ على انتباههم.,1,I tend to observe and listen in group settings.,أميل إلى الاستماع ومتابعة ما يجري في الجلسات الجماعية.,2
Q36,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I actively seek opportunities to support and assist my colleagues.,أبحث دائماً عن فرص لدعم ومساعدة زملائي.,1,I tend to prioritise my tasks over socialising with my team.,أميل إلى إعطاء الأولوية لمهامي بدلا من التفاعل الاجتماعي مع الفريق.,2
Q37,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I work well in fast-paced environments when I need to learn quickly.,أعمل جيدًا في بيئات سريعة الوتيرة عندما أحتاج إلى التعلم بسرعة.,1,I enjoy being given the space for in-depth analysis.,أحب أن تتاح لي الفرصة للقيام بالتحليل العميق.,2
Q38,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My strength is translating ideas into practical solutions.,تكمن نقاط قوتي في ترجمة الأفكار إلى حلول عملية.,1,I enjoy brainstorming and coming up with new ideas.,أحب تبادل الأفكار وابتكار حلول جديدة.,2
Q39,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I go along with others' opinions and decisions.,أتوافق مع آراء الآخرين وقراراتهم.,1,I'm keen to get my point across.,أنا حريص على إيصال فكرتي بشكلٍ واضح ومقنع.,2
Q40,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Others describe me as having a very strong drive.,يصفني الآخرون بأنني أمتلك دافعاً قوياً جداً.,1,People see me as a very patient person.,يراني الناس كشخص صبور جداً.,2
Q41,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My passion for what I do is evident to those around me.,إن شغفي بما أقوم به واضح لمن هم حولي.,1,People sometimes describe me as too serious.,يصفني الناس بعض الوقت بالشخص الجاد بشكل كبير.,2
Q42,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I tend to agree with the majority view.,أميل إلى الموافقة على وجهة نظر الأغلبية.,1,I like to challenge the status quo.,أحب تحدي الوضع الحالي والمألوف.\n,2
Q43,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy lively conversations in group environments.,أستمتع بالمحادثات الشيّقة في المجموعات.,1,I tend to be more reserved in social settings.,أميل إلى أن أكون أكثر تحفظاً في البيئات الاجتماعية.,2
Q44,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Individual achievements satisfy me the most.,ترضيني الإنجازات الفردية أكثر من غيرها.,1,I am willing to adapt my work style to better align with my team.,أنا على استعداد لتعديل أسلوب عملي ليتماشى بشكل أفضل مع فريقي.,2
Q45,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I need time to perfect new skills before applying them.,أحتاج الوقت الكافي لإتقان مهارات جديدة قبل تطبيقها.,1,I quickly understand new concepts.,أستوعب المفاهيم الجديدة بسرعة.,2
Q46,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People have called me practical.,يصفني الناس بأنني عمليّ.,1,"Often, people are too focused on practicality.",في كثير من الأحيان، يركز الناس بشكل كبير على التطبيق العملي.,2
Q47,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I follow the lead of those who take control.,أتّبع قيادة من يتولون المسؤولية.,1,"I don’t let myself lose, even against my peers.",لا أسمح لنفسي بالخسارة، حتى أمام من هم في مستواي.,2
Q48,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel eager to take on multiple tasks simultaneously.,أشعر بوجود رغبة تجبرني على تولي مهام متعددة في نفس الوقت.,1,I am realistic when planning my goals.,أنا واقعي في التخطيط لأهدافي.,2
Q49,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I often get lost in thinking about abstract concepts.,غالباً، أتعمق في التفكير بالمفاهيم المجردة.,1,"I value direct, actionable results.",أقدِّر النتائج المباشرة والقابلة للتنفيذ.,2
Q50,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People don’t always pick up on what’s going on in my mind.,لا يلاحظ الناس دائمًا ما يدور في بالي.,1,People tell me I am full of life.,يُخبرني الناس أنني مفعمٌ بالحياة.,2
Q51,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I stay calm in times of big change.,أحافظ على هدوئي عند حدوث تغييرات كبيرة.,1,I believe life should be structured and predictable.,أرى أن الحياة ينبغي أن تسير وفق نظام واضح يمكن توقّعه.,2
Q52,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I tend to feel uncomfortable if I'm the centre of attention.,أميل إلى الشعور بعدم الراحة عندما أكون محط الاهتمام.,1,I enjoy talking in front of groups of people.,أستمتع بالتحدث أمام مجموعات كبيرة من الناس.,2
Q53,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Nurturing team relationships is important to me.,تعزيز علاقات الفريق أمر مهم بالنسبة لي.,1,I value the autonomy I get from working on individual projects.,أقدر الاستقلالية التي أحصل عليها من العمل على المشاريع الفردية.,2
Q54,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I take my time to grasp new information.,آخذ وقتي لفهم المعلومات الجديدة.,1,I absorb new information easily.,استوعب المعلومات الجديدة بسهولة.,2
Q55,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I influence people easily.,يمكنني التأثير على الناس بسهولة.,1,It is easier to agree with others.,من الأسهل الاتفاق مع الآخرين.,2
Q56,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I don't feel the need to constantly push my limits.,لا أشعر بالحاجة لدفع حدود إمكانياتي باستمرار.,1,I keep pushing forward to reach my ambitions.,أدفع نفسي باستمرار نحو تحقيق أهدافي وطموحاتي.,2
Q57,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I tend to focus on practical and realistic outcomes.,أميل إلى التركيز على النتائج العملية والواقعية.,1,I enjoy exploring abstract ideas.,أستمتع باستكشاف الأفكار المجرّدة.,2
Q58,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I reserve my energy for the things I care most about.,أخصص طاقتي للأمور التي تهمني أكثر من غيرها.,1,I see myself as being generally cheerful.,أرى نفسي شخصًا مبتهجاً بشكل عام.,2
Q59,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m fascinated by what the future might bring.,أنبهر بما قد يجلبه المستقبل.,1,I avoid the uncertainty that comes with change.,أبتعد عمّا يجلبه التغيير من غموض وعدم وضوح.,2
Q60,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I prefer familiar social environments.,أفضّل البيئات الاجتماعية المألوفة.,1,I'm interested in meeting new groups of people.,أنا مهتم بلقاء مجموعات جديدة من الناس.,2
Q61,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I prioritise the success of the team over personal recognition.,أمنح الأولوية لنجاح الفريق بدلاً من الحصول على تقدير شخصي.,1,I enjoy receiving recognition for my individual achievements.,أستمتع بالحصول على التقدير لإنجازاتي الفردية.,2
Q62,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,New approaches should be evaluated first before being adopted.,يجب تقييم الأساليب الجديدة أولاً قبل اعتمادها.,1,I am open to suggestions to change my way of working.,لدي استعداد لتلقي الاقتراحات لتغيير طريقة أدائي في العمل.,2
Q63,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I can get lost in my imagination and lose track of time.,أستطيع أن أضيع في مُخيّلتي وأفقد الإحساس بالوقت.,1,I’d rather get started on a task than waste time being innovative.,أفضل البدء بالمهام بدلاً من إضاعة الوقت في التفكير الإبداعي.,2
Q64,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy taking a supportive role in group situations.,أحب أن أتولى دور المساندة أثناء المشاركة في العمل الجماعي.,1,I'm the best person to take the lead in groups.,أنا أفضل شخص لتولي القيادة في الفريق.,2
Q65,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I want to see immediate progress when working on something.,أريد أن أرى تقدماً فورياً عند العمل على شيء ما.,1,I'm willing to wait for long-term benefits from my work.,أنا على استعداد للانتظار للحصول على فوائد طويلة المدى من عملي.,2
Q66,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I’m full of energy, even at the end of the day.",أنا مليء بالطاقة، حتى في نهاية اليوم.,1,I feel my energy is drained by the end of the day.,أشعر بأن طاقتي قد استُنزِفت بحلول نهاية اليوم.,2
Q67,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,It is better when processes remain constant.,من الأفضل أن تبقى الإجراءات المتبعة في الأمور ثابتة.,1,I like new processes and ways of doing things.,أحب الإجراءات والطرق الجديدة للقيام بالأشياء.,2
Q68,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I prefer small social gatherings to big parties.,أفضل اللقاءات الاجتماعية الصغيرة على الحفلات الكبيرة.,1,Socialising with other people gives me energy.,يمنحني التواصل الاجتماعي مع الآخرين الطاقة والحيوية.,2
Q69,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel satisfied being part of a team's work.,أشعر بالرضا لكوني جزءاً من عمل الفريق.,1,"I most enjoy working by myself, so I can focus on my responsibilities.",أستمتع بالعمل بمفردي حتى أتمكن من التركيز على مسؤولياتي.,2
Q70,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People appreciate my willingness to adapt plans as needed.,يقدّر الناس استعدادي لتعديل الخطط حسب الحاجة.,1,I let events unfold before changing my approach.,أعطي الأحداث الوقت الكافي لتتضح قبل تغيير أسلوبي.,2
Q71,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I often think about what might happen in the future.,أفكر غالبًا في ما قد يحدث في المستقبل.,1,I like to concentrate on things I can control.,أحب التركيز على الأمور التي يمكنني التحكم بها.,2
Q72,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am happy to follow the main consensus.,يسعدني أن أتبع الإجماع في الرأي.,1,I am not afraid to confront others when I disagree with them.,لا أخشى مواجهة الآخرين عندما لا أوافقهم الرأي.,2
Q73,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I’m not in a hurry to achieve my goals.,لست مستعجلاً لتحقيق أهدافي.,1,Impatience drives me to push myself.,عدم الصبر يدفعني لبذل المزيد من الجهد.,2
Q74,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I prefer to approach challenges with an open mind.,أفضل التعامل مع التحديات بعقلٍ منفتح.,1,I prefer a structured approach to solving problems.,أفضل اتباع نهج منظم لحل المشكلات.,2
Q75,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People are often unaware of my mood.,في الغالب، يكون الناس غير مدركين لمزاجي.,1,People have said I brighten their day.,سبق وأن قال لي الناس بأنني أزيد يومهم سعادة.,2
Q76,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I prefer taking a different approach to the norm.,أفضل اتباع نهج مختلف عن المعتاد.,1,I believe established practices must be followed.,أعتقد أنه من الضروري اتباع الممارسات المُجرّبة والمعمول بها.,2
Q77,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I have been described as talkative.,وصفني الآخرون بأنني محب  للكلام.,1,I like time alone to re-energise myself.,أحب الوقت الذي أكون فيه وحيداً لإعادة تنشيط نفسي.,2
Q78,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy celebrating team achievements and milestones.,أستمتع بالاحتفال بالإنجازات التي حققها الفريق.,1,I do not feel the need to depend on others for support.,لا أشعر بالحاجة للاعتماد على الآخرين للحصول على الدعم.,2
Q79,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I have no problem with altering my plans when the situation calls for it.,ليس لدي أي مشكلة في تغيير خططي عندما يتطلب الموقف ذلك.,1,"When completing a task, I take comfort in following my plans exactly.",حين أعمل على أي مهمة، أشعر بالاطمئنان عند إنجازها وفقًا لخططي تمامًا.,2
Q80,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I rely on others for creative ideas.,أعتمد على الآخرين للحصول على أفكار إبداعية.,1,I usually generate the ideas and leave the details to others.,أنا في العادة أطرح الأفكار وأترك التفاصيل للأشخاص الآخرين.,2
Q81,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I focus on the here-and-now and immediate needs.,أركز على الاحتياجات الحالية والفورية.,1,I always think about the long-term future and possibilities.,أفكر دائماً بالمستقبل والاحتمالات على المدى البعيد.,2
Q82,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I like to challenge myself to be the best at any activity.,أحب أن أتحدى نفسي لأكون الأفضل في أي نشاط.,1,I think it's important to follow those who know more.,أعتقد أنه من المهم اتباع من لديهم خبرة ومعرفة أكبر.,2
Q83,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I set ambitious deadlines for myself.,أضع مواعيد محددة وطموحة لأهدافي.,1,I don't feel rushed to achieve every goal.,لا أشعر بأنني مستعجل لتحقيق كل هدف.,2
